食品番号,理由,スコア
06342,油炒めの茄子は野菜素材として利用可能だが油分の点で配慮が必要。,7
10223,にしんの数の子乾燥品は魚卵由来の素材であるが加工品であるため加工面に注意が必要。,6
06099,春菊の葉は栄養価があり犬に与えて問題ない安全な野菜素材である。,8
06308,リーキはネギ属であり溶血性貧血を引き起こす危険があるため禁忌である。,1
11226,茹でた皮なし鶏ももは良質なタンパク源で犬のレシピ素材として非常に適している。,10
10346,水煮されたするめいかは良質な海洋性タンパク源で、調味が強くなければ犬の素材として適切。,9
18043,カニクリームコロッケは衣やベシャメルなどで加工度・脂質・調味が高く複合調理済みのため素材として不向き。,3
10111,きびなごは良質な魚でタンパク源になるが生食は寄生虫や消化面の懸念があるため調理して使う方が望ましい。,8
10177,味付け缶詰のさんまは調味料や塩分が多く含まれる加工食品で、そのまま素材として使うのは適さない。,5
03004,三温糖は高糖分で栄養価は限定的なため主素材としては適さないが、少量での使用は可能。,5
04081,蒸し大豆は加熱済みでタンパク質・食物繊維源として利用できるが、量や調理形態に注意が必要。,8
15035,肉まんは複合調理済みで皮・餡・調味料を含み、脂や塩分が多い加工食品のため素材としては不向き。,3
04100,絹ごし豆腐は良質な植物性タンパク源で消化性も良く、犬のレシピ素材として適している。,8
07152,りんご果汁飲料は果実由来だが糖分が高く繊維が少ない加工飲料で、素材としては限定的な利用が望ましい。,6
06077,クレソンは葉茎野菜でビタミン・ミネラル源として利用可能だが苦味や硝酸塩に注意して少量が望ましい。,8
06126,タアサイは葉物野菜でビタミン・食物繊維の供給源として犬のレシピに使用できる。,8
09002,あおのりはミネラルや風味付けに適するがヨウ素や塩分に注意し、少量で使うのが望ましい。,7
06010,さやいんげんは低カロリーで食物繊維・ビタミンを含み、犬の素材として適している。,9
06199,しば漬は漬物で塩分や酢が強い加工食品のため、犬の素材としては不向き。,4
07146,ラズベリーは抗酸化物質を含む安全な果実で、適量であれば犬のレシピ素材として適している。,8
16050,甘酒は発酵由来の飲料で糖分が高く、市販品によってはアルコールを含む場合があるため注意が必要。,5
11312,豚の頭部肉は良質な動物性タンパク源だが生は寄生虫や細菌リスクがあるため加熱して利用するのが安全。,8
10400,きすの天ぷらは揚げ物で油・衣・調味が多く加工度が高いため素材としては不向き。,4
10448,桜でんぶは魚を加工した風味付け食品で糖や塩を含む加工品のため、主要素材としてはやや不適。,6
01130,ゆでそばはそば粉由来の炭水化物源で適量であれば犬のレシピに使用できるが主食に偏らないよう注意。,7
01084,消化しやすい主食の炭水化物源で、犬のレシピ素材として適している,9
10294,牡蠣は良質なタンパク源だが燻製・油漬けの缶詰は加工度が高く塩分や添加物が含まれやすい,6
07007,果肉は犬に与えてよい栄養価のある果物（核は除去）,8
11214,鶏むね肉は低脂肪で良質なタンパク源で犬のレシピに適している,10
04098,木綿豆腐は消化性が良く植物性タンパク源として利用できる,8
06135,ゆで大根は消化しやすい野菜でレシピに使いやすい,9
06022,スナップえんどうはビタミンや食物繊維があり与えやすい野菜類,8
08001,えのきは食用のきのこで一般に安全に使える,8
11033,牛かた肉（脂身）は良質なタンパク・脂質源だが脂肪が多めで量に注意が必要,9
18018,ポテトコロッケは揚げ・衣・調味で加工度が高く脂質や塩分が多い,3
10149,紅鮭は良質なタンパクとオメガ-3脂肪酸が豊富で犬に適した魚類,10
01204,即席カップめんは調味料や添加物、塩分が多く加工食品で素材としては不向き,3
11102,牛の子宮（ゆで）は内臓肉で栄養価があるが扱いに注意が必要,7
11101,牛腱（ゆで）はコラーゲンが豊富で犬のレシピに利用可能,8
11225,鶏もも（皮なし・焼き）は良質なタンパクと適度な脂質で使いやすい,10
10335,ずわいがには甲殻類の良質なタンパク源（殻や内臓は除去前提）,8
06287,大豆もやしは消化しやすく野菜・たんぱく補助として利用できる,8
10036,いかなごのあめ煮は甘辛く調味されており加工度と塩分・糖分が高い,4
11198,豚ゼラチンはコラーゲン源として安全だが栄養価は限定的,7
01211,米粉パンは炭水化物源として使えるが加工度が高い焼き菓子類である,6
11134,豚ももは良質なタンパク源で犬のレシピ素材として適切。調理して脂肪を調整できる。,9
10340,たらばがにの缶詰は良質な魚介たんぱくで使用可能（殻や液汁を除く前提）。,8
09015,ながこんぶはミネラル供給源として利用できるが、ミネラル濃度に注意が必要。,7
10121,こいの内臓は栄養が濃縮した部位で利用可能だが、扱いに注意が必要。,7
17092,顆粒おでんだしは調味料で塩分や複数の風味が強く、素材としては不向きな面がある。,3
04051,おからは良質な食物繊維と植物性たんぱくを含み、犬のレシピ素材として適している。,8
06330,トウミョウ（ゆで）は軟らかい野菜素材で消化性が良く使用しやすい。,8
07140,ネクタリンの果肉は安全で、種や果皮を除けば犬の果物素材として適切。,8
10404,ごまさばは魚由来の良質なたんぱくと脂肪酸源で、骨等を除去して利用可能。,8
11153,豚ばら（脂身つき）は風味が良いが脂肪が多めのため分量管理が必要となる。,8
10066,うぐいは魚類として使えるたんぱく源。骨や内臓の除去が前提。,8
16052,無果汁の果実色炭酸飲料は糖分や添加物が多く、レシピ素材としては好ましくない。,4
09013,えながおにこんぶも昆布類でミネラル源として利用可能だが濃度に留意。,7
15028,ねりきりは砂糖や加工成分が多い和菓子で、主素材としては不向き。,4
07060,グーズベリーは果実として与えやすく、少量なら犬のレシピに取り入れやすい。,7
10327,大正えびは良質なたんぱくだが殻や内臓の除去と加熱が前提で利用する。,7
10189,きだい（たい類）は魚由来の良質なたんぱくで、骨等を取り除いて利用できる。,8
07006,アボカドはペルシンなどの懸念や脂肪が高めのため注意が必要で、使用は慎重に。,4
17144,焼きそば粉末ソースは多種類の調味料・塩分・香辛料を含むため素材としては不向き。,3
01019,中力粉は調理の基材として広く使えるが、グルテン感受性には留意。,8
10472,蒸しダコは加熱済みの良質な魚介たんぱくで犬の素材として適している,9
17042,マヨネーズは高脂肪な調味料で風味付けには使えるが主要素材としては加工品寄り,5
06295,みそ漬の山ごぼうは発酵・塩分を含む加工野菜だが、少量の使用なら素材として使える,5
02011,ゆで里芋は消化しやすいでんぷん源で犬のレシピ素材に適している,8
10221,燻製ニシンは良質な魚たんぱくだが燻製・塩分の影響を考慮する必要がある,7
06045,ぬかみそ漬のかぶは発酵・塩分を含む加工食品だが根菜として少量使用は可能,5
10008,生のニシマアジは良質なたんぱく源だが生食特有の寄生虫・リスクに注意が必要,8
11251,ゆでた和牛もも（皮下脂肪なし）は良質な赤身たんぱくで犬の理想的な素材,10
07138,缶詰の桃果肉は種がなく与えやすい果物だがシロップの糖分を含む加工品である,7
18040,チキンカレーは複合調理済みで香辛料や調味成分が多く犬の素材としては注意が必要,3
11079,輸入牛のそともも（脂身つき）はエネルギーとたんぱく源として犬に適している,9
04022,そらまめの煮豆は豆類として利用可能だが消化性や量に配慮が必要な加工食品,6
11003,ウサギ肉（赤肉）は低脂肪で良質なたんぱく源として犬に適している,9
17022,しいたけだしは安全な風味付けのだし素材で犬にも使いやすい,8
11095,ゆでた牛の第二胃（トライプ）は犬に好まれる副生物で栄養源として利用可能,9
10337,水煮のズワイガニ缶は魚介たんぱくだが塩分や殻片に注意が必要,8
01132,コーンミールは穀類の炭水化物源として犬のレシピ素材に適している,9
07027,温州みかんの果肉はビタミン源として使えるが酸味や量に注意が必要,8
10269,水煮のムツ切り身は加熱済みで良質な魚たんぱく源として適している,9
10449,ふなずしは強い発酵・塩分・複合成分を含む加工作品で犬には不向き,3
11215,鶏もも肉は良質な動物性タンパク質と脂質の供給源で、犬のレシピ素材として適する（皮下脂肪は高め）。,9
17011,白醤油は塩分が高い調味料で、味付けとしては使えるがそのまま主原料にするのは適さない。,6
10120,水煮の鯉は良質なタンパク源で加工済みの魚として犬のレシピ素材に適する。,9
03020,果糖はエネルギー源にすぎず栄養的価値が低いため、素材としては適さないことが多い。,5
03011,粉糖は精製された糖分が主体で栄養価が低く、犬の主素材としては不適切。,4
11301,牛かた肉のゆでは良質な動物性タンパク質で、犬のレシピ素材として適している。,9
07122,ぶどうは犬に急性腎不全を引き起こす危険があり、犬への使用は禁忌である。,1
06389,玉ねぎは赤血球を破壊する成分を含み、犬にとって有害であるため使用不可。,1
09017,まこんぶはミネラル（ヨウ素等）を多く含む海藻で、適量であれば利用可能だが量に注意が必要。,7
06173,冬瓜は低カロリーで消化性の良い野菜で、犬のレシピ素材として適している。,8
16027,薬味酒はアルコールを含み、エタノールによる中毒の危険があるため犬には使用不可である。,1
15169,あんパンは糖分と精製炭水化物が主体で栄養的には不向きな加工食品である。,4
10117,生のぐちは魚類として良質なタンパク源だが、生食では寄生虫や酵素のリスクがあるため加熱が望ましい。,8
01054,乾燥沖縄そば（小麦）は精製炭水化物の加工品であり、主素材としては限りがあるが使用は可能。,6
05026,味付けしたピスタチオはナッツ類で脂肪分や塩分が高く、消化不良や高脂血症のリスクがあるため注意が必要。,4
06366,生のしょうが（おろし汁）は適量であれば消化を助ける成分を含み、犬のレシピ素材として使える。,8
11293,つくねは鶏肉ベースの加工品でタンパク源として使えるが、調味料の有無に注意が必要である。,7
06176,茹でたスイートコーンの未熟種子は消化可能な炭水化物源として犬に利用できる。,8
06178,冷凍カーネルのスイートコーンも同様に犬のレシピ素材として利用可能である。,8
08048,ゆでたエリンギは一般的な食用きのこで、加熱調理されたものは犬の素材として適する。,8
10060,良質な魚タンパクと脂肪酸を含み、犬の素材として適している,10
09019,ミネラル豊富な海藻で少量なら利用しやすい素材,8
06163,茹でて調理済みの山菜系素材で消化にやさしく使用可能,7
10148,良質な魚（にじます）でタンパク源として適するが加熱推奨,8
13059,乳製品としてカルシウムやタンパクを含むが乳糖過敏に注意,6
17140,液体調味料で塩分や調味が強く、そのまま大量に使うには不向き,3
09042,ミネラルを含む海藻で少量の風味付けや栄養源として使いやすい,8
15017,餅の粘着性や菓子類の糖分が問題となりやすく素材としては不向き,3
10104,魚および魚卵は良質なタンパク源で素材として適している,8
13044,高脂肪・高糖分の加工乳製品で使用は限定的（間食向け）,5
11310,赤身と脂肪を含む良質な肉類で犬のレシピ素材として適切,9
07011,あんずの果肉は与えやすいが、ジャムは加工度と糖分が高い,6
10203,魚卵は栄養があるが塩分の高い加工品で使用は慎重に,6
03017,単純な糖類でエネルギー源にはなるが素材としては限定的,5
10231,白身魚で良質なタンパク源、加熱して与えるのが望ましい,8
06001,野菜性の素材で食物繊維や栄養素があり使用可能,7
06168,茹でた野菜性素材で利用可能だが風味や個体差に注意,6
06286,栄養価のあるもやし類で少量なら利用できるが生食の衛生に注意,7
11241,つくだ煮は塩分・調味が強い加工食品で素材としては不向き,3
09004,焼きのりは微量栄養素や風味付けに使いやすい海藻素材,8
15145,小豆のあんは犬に問題ないが菓子生地や加糖が多く加工度が高いため素材としては限定的に使用,5
15183,こしあん自体は可だがデニッシュ生地は油脂や加工成分を多く含むため素材としては限定的,5
06404,一般に安全でビタミン・食物繊維が豊富な野菜。犬のレシピ素材として適する,9
09026,てんぐさ由来の寒天は食物繊維的に安全で水分保持やとろみ付けに使える,8
14022,純粋な油脂で風味付けには使えるが高脂肪のため扱いに注意が必要な素材,5
15012,きび由来の団子は穀物系で基礎的に問題ないが加糖・加工度が高く限定的に使用,5
17023,煮干し由来のだしは魚由来の旨味・タンパク源として使いやすい（塩分量に注意）,9
01047,小麦を主成分とする麺類で炭水化物源として使用可。調理して与えるのが一般的,7
10425,赤身のまぐろは良質なたんぱく源。ただし生は寄生虫などのリスクがあるため加熱が望ましい,8
06213,加熱済みのにんじんは消化性が良くビタミンや食物繊維が豊富で犬に適する,9
10096,魚由来の加工缶詰は風味が良いが味付け（塩分・調味料）があるため加工品として使用量に留意,6
06024,加熱済みのグリンピースは消化しやすくビタミン・食物繊維を含む安全な素材,9
03008,純粋な砂糖は栄養価が低く甘味付けとしてのみの利用にとどめるべき素材,4
04069,加熱済みの豆類は植物性たんぱくと食物繊維を含み利用可能（十分に加熱されていることが前提）,8
18034,山菜の煮物は下処理や味付けがされている加工食品であり、調味された状態での使用は限定的,5
01152,精白米は消化の良い炭水化物で犬のレシピ素材として適している,9
11170,加熱済みの豚の大腸はタンパク源となるが脂肪や消化性に留意が必要な副生物,7
10032,魚の肝臓は栄養価が高いが生では寄生虫や汚染リスクがあるため加熱して使う方が安全,6
10396,しらすは良質なたんぱく源だが生の場合は小骨や寄生虫に注意が必要,8
04007,乾燥のいんげん豆は生のままだと消化障害を起こす可能性があるため、十分に加熱してから使用する素材,6
10186,小型の魚で良質なたんぱく源。犬のレシピ素材として適している。,9
10446,かつお加工品は高たんぱくで旨味があり、犬の料理素材として適切。,9
15128,加工された揚げ菓子の一部で脂質や調味があるため、素材としてはやや不向き。,4
13036,ナチュラルチーズは高たんぱく・高脂肪で犬に使えるが塩分・脂肪に注意が必要。,7
15122,でん粉系の和菓子で加工度が高く主素材としては限定的に使用可能。,5
07100,果実飲料は果実風味を加えられるが糖分や加工度が高く素材としては限定的。,5
01051,ゆで麺は原材料が小麦主体の安全な炭水化物源で、料理素材として利用可能。,7
11138,豚もも赤肉は良質なたんぱく源で犬のレシピ素材として適切。,9
10473,蒸しだこは低脂肪・高たんぱくで使用しやすいが油いための加工がある点は考慮要。,8
01056,インスタントめんは調味料や油が含まれる複合加工食品で犬の素材としては不向き。,3
06018,エンダイブは葉野菜でビタミン・繊維があり犬のレシピ素材として適している。,9
10412,焼きほっけは良質な魚類の一つでたんぱく源として利用可能。,8
06043,ぬかみそ漬けの漬物は加工品で塩分や発酵風味があるため素材利用は限定的。,5
06249,黄ピーマンは生の果実でビタミン・食物繊維があり犬のレシピ素材として適切。,9
01207,リッチタイプの食パンは加工度が高く脂質や糖分を含むため汎用素材としてやや劣る。,6
11232,鶏肝は栄養価が高く良質な動物性素材で犬のレシピに適している。,9
10099,焼きかますは魚由来のたんぱく源で料理素材として適切。,8
07014,低糖ジャムは果実風味を付けられるが加工度と糖類のため素材としては限定的。,5
17020,昆布だしは旨味成分として有用で、犬の料理の風味付け素材として適している。,8
11263,牛もも（皮下脂肪なし）焼きは良質な赤身たんぱく源で犬のレシピ素材として適切。,9
11191,加工された豚肉のソーセージでタンパク源にはなるが加工度・調味が高いため素材としては注意が必要,5
17073,唐辛子の粉で辛味が強く消化器刺激のリスクがあるため注意が必要,3
11080,牛肉は良質な動物性タンパク源で犬のレシピ素材として適している,9
06202,ゆでた菜花の茎葉で消化しやすく野菜素材として適している,8
01147,から揚げ用プレミックス粉は加工度が高く添加成分が含まれるため用途はあるが注意が必要,5
10061,味付け缶いわしは魚としての利用価値はあるが味付け・加工があるため素材扱いでは注意が必要,5
13003,牛乳はカルシウムなどを含む乳製品として利用可能だが乳糖に対する個体差に配慮が必要,7
01116,米こうじは米由来の発酵素材として風味付けや栄養的補助に利用できる,8
10230,はまふえふき（魚）は良質な動物性タンパク源で犬の素材として適している,9
08005,ゆでたきくらげは食物繊維が豊富で加熱済みのため素材として適している,8
06007,アスパラガスの若茎は低カロリーでビタミン類を含む安全な野菜素材である,8
04097,木綿豆腐は植物性の良質なタンパク源で消化しやすく素材として適している,8
06157,たらのめは山菜として風味があり利用できるが生のままは消化性に配慮が必要,7
01049,蒸し中華めんは炭水化物源として使えるが加工度が高めの素材である,6
06156,赤たまねぎはタマネギ類に含まれる成分により犬に溶血性貧血を起こす危険があるため不可,1
01143,ライ麦粉は穀類の粉として利用可能だが加工粉として扱いに注意が必要,6
07071,さくらんぼの果肉は利用可能だが核（種）は有害なので除去が必要,7
01120,白玉粉はもち米由来の粉で炭水化物源として素材に使いやすい,8
06164,つるな（茎葉）は野菜として安全に利用できる栄養源である,8
10204,からし明太子は魚素材だが辛味や強い味付けがあるため素材としては注意が必要,4
04089,おからは植物性たんぱくと食物繊維が豊富で犬のレシピ素材として利用しやすい,7
11010,牛肉は良質な動物性たんぱく源で犬のレシピ素材として適している,9
07081,プルーンは犬に消化器障害や電解質異常を起こす危険があるため不適切,1
18042,かぼちゃ自体は安全だがクリームや調味が加わったスープは加工度が高く扱いに注意が必要,5
17004,豆板醤は辛味・塩分が強く香辛料として犬向けではない,3
08030,栽培まいたけは食物繊維や栄養があり犬の素材として利用可能,8
01099,おもゆ（米）は消化しやすく良い炭水化物源で犬に適している,9
06061,生のキャベツはビタミン・食物繊維が豊富で犬のレシピ素材として適している,8
13034,カマンベールはタンパク質・カルシウム源になるが脂肪・塩分がやや高め,7
10106,干しかれいは良質な魚由来たんぱくだが乾燥や塩分が含まれる点に注意が必要,8
18022,メンチカツは揚げ物で油分や調味が強く加工度が高いため素材として不向き,3
06393,オレンジピーマン（パプリカ）はビタミンが豊富で犬に与えやすい野菜素材,8
06396,加熱したブロッコリーは栄養価があり犬のレシピ素材として適している,8
11007,牛の脂身は高脂肪で膵炎リスクがあるため使用は慎重にすべき,6
04057,分離大豆たんぱくは高たんぱくな植物性素材として利用できる,8
11163,豚ひき肉は良質なたんぱく源だが脂肪含量や加熱状態に注意が必要,8
06235,白菜の塩漬け（漬物）は塩分や発酵調味が強く素材としては不向き,3
06196,ぬかみそ漬けは塩分や発酵成分が含まれ加工度が高く犬の素材として向かない,3
02030,米でん粉は炭水化物源として使いやすく犬のレシピ素材に適している,8
17086,濃口醤油（減塩含む）は調味料で塩分や発酵成分が強く素材としては不適当,3
10376,魚すり身の加工品で塩分や添加物があるがタンパク源として利用可能。,6
10384,魚のすり身製品で加工度が高く塩分等に注意が必要だが素材として使える。,6
11252,焼き牛ばらは良質な動物性タンパクと脂肪を含みレシピ素材として適する。,9
11144,生の豚肩肉は良質なタンパク源だが脂が多く、調理方法に注意が必要。,7
01137,加工穀物で糖分・加工度が高いが補助的な素材として使える可能性がある。,5
15185,高脂肪・高糖分の菓子類で加工度が高く主原料向きではない。,3
06200,野草の葉で一般に毒性は少なく、葉物として利用可能な素材。,7
11199,マトンのロースは動物性タンパク源として適するが脂が付く点に注意。,8
01068,小麦製の伝統食材（ふ類）で消化性やアレルギーに配慮すれば素材として使える。,7
10359,味付け缶詰のいか加工品は塩分や調味が強い点に留意が必要。,5
07166,果肉部分は柑橘類で風味が強いが栄養源として利用可能（皮・種は除去）。,8
06039,ゆでたかぶの根は消化しやすい野菜で犬のレシピ素材に適する。,9
07144,ライチは糖分が高い果物だが果肉は与えられる場合がある（種は除去）。,6
06133,ゆでた大根は消化に良い根菜で犬用素材として適する。,9
10403,フライのまさばは魚として良質だが揚げ油や衣の分で加工度・脂質が高い。,7
04109,きな粉は大豆由来のタンパク源で砂糖が加わっているため用途に応じた注意が必要。,6
07105,はっさくの果肉は柑橘類として利用できる（皮・種は除去）。,7
15025,ちまきは加熱済みの炭水化物主体の加工食品で主素材には向かないが補助的には使える。,5
06251,ミニパプリカ（果実）はビタミンや食物繊維があり犬のレシピ素材として適する。,9
06347,生のにんじんは栄養価が高く噛みごたえもあり犬の素直な素材として適する。,9
06084,食物繊維が豊富な根菜で、犬のレシピ素材として利用しやすい,8
06241,瓜類の果実で消化に良く利用しやすい（種子は除く）,8
10411,良質な動物性たんぱく源で犬に適した魚類である,9
06406,辛みの少ない唐辛子系の果実でビタミンや食物繊維が豊富,8
17095,調味料・ソースの加工品で香辛料や塩分が高く素材としては不向き,3
10178,調味加工された缶詰で塩分・糖分が高めのため素材としては控えめ,4
06373,鉄分やビタミンを含む葉物だが油で調理された加工品である,6
06350,ネギ類は溶血性貧血を引き起こす成分を含むため犬には禁忌である,1
01162,炭水化物源として利用しやすい穀類で犬向け素材として適切,8
10192,高品質なたんぱく源で犬のレシピ素材として適している魚類である,9
06154,タマネギは溶血性貧血を引き起こす成分を含むため犬には禁忌である,1
15001,加糖された菓子で糖分が高く頻繁な使用には不向きな加工食品である,5
10130,良質な脂質（オメガ3）とたんぱくが豊富な魚で犬に適している,9
07177,果肉は消化に適し酵素を含む食材であり適量で安全に使える,8
06005,食用の葉茎類で有害情報は少なく野菜素材として利用可能である,7
07079,果汁は酸が強く風味が濃いため刺激になり得る点に注意が必要である,4
15164,加糖・加工された菓子で砂糖や油分が多く素材としては不向き,4
04031,大豆は良質なたんぱく源だが煮豆などの加工品は糖分・調味に注意が必要,6
10415,低脂肪の良質なたんぱく源で犬に適した魚介類（殻は除く）である,9
11258,理想的な動物性たんぱく源で犬のレシピ素材として優れている,10
10040,いとよりだいのすり身は良質な魚たんぱく源で犬のレシピ素材として適切。,8
10341,かに類の加工品。カニはたんぱく源として使えるが加工品は塩分や調味料が含まれることがある。,6
04095,油揚げ（大豆由来）は植物性たんぱく源として利用可能だが、甘煮は糖分や調味料が含まれる点に留意。,7
15148,うぐいすもち（もち＋あん）は粘着性が高く窒息や消化負担のリスクがあるため、素材としては適性が低め。,4
01196,即席カップめんは調味料や香辛料、塩分を含む加工度の高い食品で、素材としては不向きな点がある。,3
11205,合鴨（皮つき）は良質なたんぱく源だが脂肪が多めでエネルギーが高い。,8
10390,皮つきのフライ（あじ）は揚げ物で油や衣の影響が大きく、加工食品として扱いに注意が必要。,4
06334,切干しだいこん（ゆで）は食物繊維が豊富で消化に適した野菜素材として利用可能。,8
11011,和牛リブロースは良質なたんぱく源で犬の素材として適切だが脂肪が多めである。,9
01126,そば米（そばごめ）は穀類として利用可能で、犬のレシピ素材として適している。,8
01178,かやきせんべいは加工された小麦製品で調味料や塩分が含まれるため注意が必要。,6
01181,赤米は栄養価のある穀類で犬の素材として利用可能。,8
14016,ラードは動物性脂肪で料理の脂肪源として使えるが脂質が高い点に留意。,7
04101,こしあん（加糖）は砂糖が多く加工度が高いため、素材としては制限がある。,5
03033,はちみつは甘味料として使用できるが糖分が高い点に注意が必要。,7
11261,牛もも肉は良質なたんぱく源で犬のレシピ素材として非常に適切。,9
02038,タピオカパール（乾）はでん粉製品として使用可能だが調理が必要で栄養価は限定的。,7
10056,しらす干し（半乾燥）はカルシウムなどを補える魚原料だが塩分に注意が必要。,8
11172,豚足（ゆで）はコラーゲン源として利用できるが骨や脂肪の処理が必要。,7
14010,パーム核油は植物油脂として使用可能だが飽和脂肪が多い点に留意。,6
17104,しょうゆや砂糖を含む調味料で塩分・糖分が高め。風味付けの調味料として使用される素材。,6
01044,ゆでた小麦麺は消化しやすい炭水化物源だが、たんぱく質等は少ないため補助的素材として適する。,7
10009,骨等が除かれた加熱済み魚で良質なタンパク質と不飽和脂肪酸を供給する安全な素材。,9
15059,加工された米菓で塩分や調味料・添加物を含むことが多く、主素材としては不向き。,5
09021,昆布はミネラルと旨味を与える良い素材だがヨウ素含有量が高めで使用量に配慮が必要。,7
10169,ふかひれはコラーゲンを含む魚由来の素材で消化性が良く、料理素材として使用可能。,7
17029,めんつゆはだしベースの調味液で塩分が高く、調味料としての使用が中心になる素材。,5
10085,めかじきは良質なたんぱく源だが生食は寄生虫や病原性リスクがあるため加熱が望ましい。,6
15062,そばボーロは加工菓子で糖分・油脂を含むことが多く、主原料としては限定的。,5
10226,佃煮は甘辛く煮詰めた加工品で塩分・糖分が高く、犬の素材としては不向き。,3
17084,ベーキングパウダーは調理用の膨張剤で、料理工程での使用は問題ないが単体の食品ではない。,6
10175,開き干しさんまはオメガ3等の栄養は豊富だが、干し・塩分が高めで骨の除去が必要。,6
10020,焼きあまだいは加熱済みの白身魚で良質なタンパク源。骨が除かれていれば安全。,9
07130,まくわうりの果肉は水分・繊維が豊富で安全（果皮・種子は除く）。,8
10125,甘酢漬けは酸味・糖分・塩分が強い調味加工食品で、犬の素材としては適さない場合が多い。,4
06256,ふきの葉柄は食用になる部位で繊維を供給するが、下ごしらえや加熱が必要な場合がある。,7
10442,焼きサーモンはタンパク質とオメガ3が豊富で、骨除去の条件で犬に適した優れた素材。,10
07018,いよかんの果肉相当部は柑橘類の果実で酸味があり、種や皮は除く必要がある。,7
16049,ココアに含まれるテオブロミン・カフェインは犬に有害で、絶対に避けるべき成分を含む。,1
13002,未殺菌の生乳は病原菌混入のリスクがあり、消化不良を起こす犬もいるため注意が必要。,5
06085,茹で済みの根菜で食物繊維やミネラルが豊富。犬のレシピ素材として適している。,8
10368,動物性の良質なタンパク源だが殻や加熱の有無で消化性・安全性が変わるため注意が必要。,6
06023,ビタミンや食物繊維が豊富で犬に与えやすい野菜素材。,8
06027,葉物野菜でビタミン・ミネラル源として適している。,8
02017,生の芋はソラニン等や消化性の観点から加熱が望ましく、生のままでは注意が必要。,5
12010,栄養価の高い食材で良質な脂溶性栄養素を含むが、生は衛生面の注意が必要。,8
01045,炭水化物源として利用可能だが、小麦アレルギーの犬もいるため留意が必要。,7
04096,植物性タンパクと食物繊維が豊富で利用しやすい加工大豆製品。,7
01013,全粒の炭水化物源で栄養価が高いが、消化性に配慮が必要。,7
11024,良質な動物性タンパク源で犬のレシピ素材として適している。,10
01214,胃腸にやさしい粥状の穀物で消化性が高く素材として適している。,9
04063,発酵大豆製品で消化性が良く植物性タンパク源として使いやすい。,7
15099,加工スナックで塩分・油分が含まれることが多く、素材としてはあまり適さない。,5
11040,豊富なタンパク質と脂質を含む良質な肉類だが脂肪分は高めで留意が必要。,9
04018,加熱済みの豆類は消化しやすく栄養源として利用できる。,8
17067,香辛料は消化器刺激や含有成分に注意が必要で、使用は控えめが望ましい。,4
11091,内臓肉で栄養密度が高く良質な素材（ビタミン・ミネラル源）である。,9
11262,良質な動物性タンパク源で犬のレシピ素材として適している。,9
15093,加工クラッカーは脂質・塩分を含むことが多く、素材としては限定的に使う方が良い。,5
15073,高脂肪・高糖の菓子類で犬には不適切になりやすい。,4
17016,米酢は風味付けに使える安全な調味料（酸味が強いため適量で使用）,8
14003,米ぬか油は良質な脂質源で料理素材として適切,9
05045,落花生（ピーナッツ）は脂質が高く消化負担や膵炎リスクがあるため注意が必要,4
01173,茹でたマカロニ類は炭水化物源として使えるが加工品のため主素材としてはやや劣る,6
06181,ヤングコーンは安全な野菜素材で犬のレシピに利用可能,8
01010,麦こがしは穀物として安全で利用可能（消化を考慮）,8
10022,鮎の焼き身は良質な魚たんぱくで犬の素材として適切（骨は除去）,9
10077,おこぜは魚類としてタンパク源に適するが生魚由来のリスクに注意,8
08022,なめこの水煮は食用きのこで調理済みのため利用しやすい,8
10326,桜えびは魚介類で風味付けやたんぱく源に使える（殻の取り扱いに注意）,8
01148,ベーグル等のパン類は加工食品で炭水化物源として使えるが主要たんぱく源としては劣る,6
11122,豚かたロース（脂身含む）は良質な動物性たんぱくと脂質の供給源として適切,9
01146,お好み焼き用プレミックス粉は加工された粉類で利用は可能だが添加物や調理形態に注意,5
10253,本鮪赤身は高品質なたんぱく源で犬のレシピ素材として適切,9
06229,のざわな葉は葉物野菜として栄養源になり得る安全な素材,8
10102,まがれいの焼き身は調理済み魚としてたんぱく源に適し骨の除去が前提,9
01198,即席中華めん（添付調味料含む）は多くの調味料・添加物や塩分・香辛料を含むため犬用素材としては不向き,3
17064,白こしょうは香辛料で消化器刺激の可能性があるため注意が必要,3
04092,つるあずきのゆで物は加熱済みの豆類で炭水化物・たんぱく源として利用可能だが消化性に留意,7
17024,鶏がらだしは風味付けや旨味素材として使えるが成分により塩分等に注意,8
11209,きじは良質な動物性たんぱく源で犬のレシピ素材として適している,9
06191,なすは低カロリーで調理すれば消化しやすい野菜で素材向き,8
16040,茶類はカフェインを含み、犬に神経・心臓への影響を及ぼすため不適切,1
04078,だいず（いり大豆）は植物性たんぱく源として利用可能だが固さにより消化に注意,7
04035,充てん豆腐は消化しやすい植物性たんぱく源で犬の素材として適している,8
10045,煮干しはいわし類の良質な魚たんぱく・カルシウム源で素材向き,9
06305,らっきょうはネギ属に該当し、溶血性貧血を引き起こすため禁忌,1
17148,かつお・昆布だしは魚・海藻由来の風味付けに使えるが調味料としての特徴に注意,7
15044,おのろけ豆はらっかせい（ピーナッツ）製品で、ナッツ類は消化不良や膵炎リスクがある,4
15091,ババロアは乳製品・卵主体の加工デザートで加工度が高く素材としては注意が必要,5
10279,あかがいなどの貝類は良質なたんぱく源だが殻や内臓は除去して調理する必要がある,7
